"","Tournament_Game","Year","Month","Day","Team1_Score","Team2_Score","Team1_Seed","Team1","Team2_Seed","Team2"
"447","NCAA, South - Second Round","2017","3","19",65,72,8,"Arkansas",1,"UNC"
"448","NCAA, Midwest - Second Round","2017","3","19",70,90,9,"Michigan State",1,"Kansas"
"449","NCAA, Midwest - Second Round","2017","3","19",73,69,7,"Michigan",2,"Louisville"
"450","NCAA, East - Second Round","2017","3","19",88,81,7,"South Carolina",2,"Duke"
"451","NCAA, South - Second Round","2017","3","19",62,65,10,"Wichita State",2,"Kentucky"
"452","NCAA, South - Second Round","2017","3","19",67,79,6,"Cincinnati",3,"UCLA"
"453","NCAA, Midwest - Second Round","2017","3","19",72,75,11,"Rhode Island",3,"Oregon"
"454","NCAA, East - Second Round","2017","3","19",78,82,11,"USC",3,"Baylor"
"455","NCAA, Midwest - Regional Semifinal","2017","3","23",66,98,4,"Purdue",1,"Kansas"
"456","NCAA, West - Regional Semifinal","2017","3","23",58,61,4,"West Virginia",1,"Gonzaga"
"457","NCAA, West - Regional Semifinal","2017","3","23",73,71,11,"Xavier",2,"Arizona"
"458","NCAA, Midwest - Regional Semifinal","2017","3","23",68,69,7,"Michigan",3,"Oregon"
"459","NCAA, South - Regional Semifinal","2017","3","24",80,92,4,"Butler",1,"UNC"
"460","NCAA, South - Regional Semifinal","2017","3","24",75,86,3,"UCLA",2,"Kentucky"
"461","NCAA, East - Regional Semifinal","2017","3","24",70,50,7,"South Carolina",3,"Baylor"
"462","NCAA, East - Regional Semifinal","2017","3","24",83,84,8,"Wisconsin",4,"Florida"
"463","NCAA, Midwest - Regional Final","2017","3","25",74,60,3,"Oregon",1,"Kansas"
"464","NCAA, West - Regional Final","2017","3","25",59,83,11,"Xavier",1,"Gonzaga"
"465","NCAA, South - Regional Final","2017","3","26",73,75,2,"Kentucky",1,"UNC"
"466","NCAA, East - Regional Final","2017","3","26",77,70,7,"South Carolina",4,"Florida"
"467","NCAA, National - National Semifinal","2017","4","1",76,77,3,"Oregon",1,"UNC"
"468","NCAA, National - National Semifinal","2017","4","1",73,77,7,"South Carolina",1,"Gonzaga"
"469","NCAA, National - National Final","2017","4","3",65,71,1,"Gonzaga",1,"UNC"
"470","NCAA, East - First Four","2018","3","13",65,58,11,"St Bonaventure",11,"UCLA"
"471","NCAA, East - First Four","2018","3","13",61,71,16,"LIU",16,"Radford"
"472","NCAA, Midwest - First Four","2018","3","14",60,56,11,"Syracuse",11,"Arizona State"
"473","NCAA, West - First Four","2018","3","14",64,46,16,"Texas Southern",16,"North Carolina Central"
"474","NCAA, Midwest - First Round","2018","3","15",60,76,16,"Penn",1,"Kansas"
"475","NCAA, East - First Round","2018","3","15",61,87,16,"Radford",1,"Villanova"
"476","NCAA, Midwest - First Round","2018","3","15",67,89,15,"Iona",2,"Duke"
"477","NCAA, West - First Round","2018","3","15",47,61,14,"Montana",3,"Michigan"
"478","NCAA, East - First Round","2018","3","15",60,70,14,"Stephen F Austin",3,"Texas Tech"
"479","NCAA, South - First Round","2018","3","15",47,73,14,"Wright State",3,"Tennessee"
"480","NCAA, South - First Round","2018","3","15",89,68,13,"Buffalo",4,"Arizona"
"481","NCAA, West - First Round","2018","3","15",64,68,13,"UNC Greensboro",4,"Gonzaga"
"482","NCAA, South - First Round","2018","3","15",73,78,12,"Davidson",5,"Kentucky"
"483","NCAA, West - First Round","2018","3","15",73,81,12,"South Dakota State",5,"Ohio State"
"484","NCAA, South - First Round","2018","3","15",64,62,11,"Loyola IL",6,"Miami FL"
"485","NCAA, West - First Round","2018","3","15",65,67,11,"San Diego State",6,"Houston"
"486","NCAA, East - First Round","2018","3","15",62,77,11,"St Bonaventure",6,"Florida"
"487","NCAA, Midwest - First Round","2018","3","15",78,83,10,"Oklahoma",7,"Rhode Island"
"488","NCAA, East - First Round","2018","3","15",86,83,9,"Alabama",8,"Virginia Tech"
"489","NCAA, Midwest - First Round","2018","3","15",83,94,9,"NC State",8,"Seton Hall"
"490","NCAA, South - First Round","2018","3","16",74,54,16,"UMBC",1,"Virginia"
"491","NCAA, West - First Round","2018","3","16",83,102,16,"Texas Southern",1,"Xavier"
"492","NCAA, East - First Round","2018","3","16",48,74,15,"Cal State Fullerton",2,"Purdue"
"493","NCAA, South - First Round","2018","3","16",53,68,15,"Georgia State",2,"Cincinnati"
"494","NCAA, West - First Round","2018","3","16",66,84,15,"Lipscomb",2,"UNC"
"495","NCAA, Midwest - First Round","2018","3","16",78,82,14,"Bucknell",3,"Michigan State"
"496","NCAA, Midwest - First Round","2018","3","16",58,62,13,"College of Charleston",4,"Auburn"
"497","NCAA, East - First Round","2018","3","16",81,75,13,"Marshall",4,"Wichita State"
"498","NCAA, East - First Round","2018","3","16",68,85,12,"Murray State",5,"West Virginia"
"499","NCAA, Midwest - First Round","2018","3","16",68,79,12,"New Mexico State",5,"Clemson"
"500","NCAA, Midwest - First Round","2018","3","16",57,52,11,"Syracuse",6,"TCU"
"501","NCAA, East - First Round","2018","3","16",79,62,10,"Butler",7,"Arkansas"
"502","NCAA, West - First Round","2018","3","16",69,73,10,"Providence",7,"Texas AM"
"503","NCAA, South - First Round","2018","3","16",83,87,10,"Texas",7,"Nevada"
"504","NCAA, West - First Round","2018","3","16",67,54,9,"Florida State",8,"Missouri"
"505","NCAA, South - First Round","2018","3","16",69,59,9,"Kansas State",8,"Creighton"
"506","NCAA, East - Second Round","2018","3","17",58,81,9,"Alabama",1,"Villanova"
"507","NCAA, Midwest - Second Round","2018","3","17",79,83,8,"Seton Hall",1,"Kansas"
"508","NCAA, Midwest - Second Round","2018","3","17",62,87,7,"Rhode Island",2,"Duke"
"509","NCAA, East - Second Round","2018","3","17",66,69,6,"Florida",3,"Texas Tech"
"510","NCAA, West - Second Round","2018","3","17",63,64,6,"Houston",3,"Michigan"
"511","NCAA, South - Second Round","2018","3","17",63,62,11,"Loyola IL",3,"Tennessee"
"512","NCAA, West - Second Round","2018","3","17",84,90,5,"Ohio State",4,"Gonzaga"
"513","NCAA, South - Second Round","2018","3","17",75,95,13,"Buffalo",5,"Kentucky"
"514","NCAA, West - Second Round","2018","3","18",75,70,9,"Florida State",1,"Xavier"
"515","NCAA, East - Second Round","2018","3","18",73,76,10,"Butler",2,"Purdue"
"516","NCAA, South - Second Round","2018","3","18",75,73,7,"Nevada",2,"Cincinnati"
"517","NCAA, West - Second Round","2018","3","18",86,65,7,"Texas AM",2,"UNC"
"518","NCAA, Midwest - Second Round","2018","3","18",55,53,11,"Syracuse",3,"Michigan State"
"519","NCAA, Midwest - Second Round","2018","3","18",84,53,5,"Clemson",4,"Auburn"
"520","NCAA, East - Second Round","2018","3","18",71,94,13,"Marshall",5,"West Virginia"
"521","NCAA, South - Second Round","2018","3","18",43,50,16,"UMBC",9,"Kansas State"
"522","NCAA, West - Regional Semifinal","2018","3","22",72,99,7,"Texas AM",3,"Michigan"
"523","NCAA, West - Regional Semifinal","2018","3","22",75,60,9,"Florida State",4,"Gonzaga"
"524","NCAA, South - Regional Semifinal","2018","3","22",61,58,9,"Kansas State",5,"Kentucky"
"525","NCAA, South - Regional Semifinal","2018","3","22",69,68,11,"Loyola IL",7,"Nevada"
"526","NCAA, Midwest - Regional Semifinal","2018","3","23",76,80,5,"Clemson",1,"Kansas"
"527","NCAA, East - Regional Semifinal","2018","3","23",78,90,5,"West Virginia",1,"Villanova"
"528","NCAA, Midwest - Regional Semifinal","2018","3","23",65,69,11,"Syracuse",2,"Duke"
"529","NCAA, East - Regional Semifinal","2018","3","23",78,65,3,"Texas Tech",2,"Purdue"
"530","NCAA, West - Regional Final","2018","3","24",54,58,9,"Florida State",3,"Michigan"
"531","NCAA, South - Regional Final","2018","3","24",78,62,11,"Loyola IL",9,"Kansas State"
"532","NCAA, Midwest - Regional Final","2018","3","25",81,85,2,"Duke",1,"Kansas"
"533","NCAA, East - Regional Final","2018","3","25",59,71,3,"Texas Tech",1,"Villanova"
"534","NCAA, National - National Semifinal","2018","3","31",95,79,1,"Villanova",1,"Kansas"
"535","NCAA, National - National Semifinal","2018","3","31",57,69,11,"Loyola IL",3,"Michigan"
"536","NCAA, National - National Final","2018","4","2",62,79,3,"Michigan",1,"Villanova"
"537","NCAA, East - First Four","2019","3","19",70,81,11,"Temple",11,"Belmont"
"538","NCAA, West - First Four","2019","3","19",82,76,16,"Fairleigh Dickinson",16,"Prairie View"
"539","NCAA, West - First Four","2019","3","20",65,74,11,"St Johns NY",11,"Arizona State"
"540","NCAA, East - First Four","2019","3","20",74,78,16,"North Carolina Central",16,"North Dakota State"
"541","NCAA, West - First Round","2019","3","21",49,87,16,"Fairleigh Dickinson",1,"Gonzaga"
"542","NCAA, Midwest - First Round","2019","3","21",44,79,15,"Abilene Christian",2,"Kentucky"
"543","NCAA, East - First Round","2019","3","21",65,76,15,"Bradley",2,"Michigan State"
"544","NCAA, West - First Round","2019","3","21",55,74,15,"Montana",2,"Michigan"
"545","NCAA, South - First Round","2019","3","21",48,61,14,"Old Dominion",3,"Purdue"
"546","NCAA, East - First Round","2019","3","21",74,79,14,"Yale",3,"LSU"
"547","NCAA, Midwest - First Round","2019","3","21",53,87,13,"Northeastern",4,"Kansas"
"548","NCAA, West - First Round","2019","3","21",69,76,13,"Vermont",4,"Florida State"
"549","NCAA, West - First Round","2019","3","21",83,64,12,"Murray State",5,"Marquette"
"550","NCAA, Midwest - First Round","2019","3","21",77,78,12,"New Mexico State",5,"Auburn"
"551","NCAA, East - First Round","2019","3","21",77,79,11,"Belmont",6,"Maryland"
"552","NCAA, South - First Round","2019","3","21",57,61,11,"Saint Marys",6,"Villanova"
"553","NCAA, West - First Round","2019","3","21",70,61,10,"Florida",7,"Nevada"
"554","NCAA, East - First Round","2019","3","21",86,76,10,"Minnesota",7,"Louisville"
"555","NCAA, Midwest - First Round","2019","3","21",68,84,10,"Seton Hall",7,"Wofford"
"556","NCAA, West - First Round","2019","3","21",78,69,9,"Baylor",8,"Syracuse"
"557","NCAA, South - First Round","2019","3","22",56,71,16,"GardnerWebb",1,"Virginia"
"558","NCAA, Midwest - First Round","2019","3","22",73,88,16,"Iona",1,"UNC"
"559","NCAA, East - First Round","2019","3","22",62,85,16,"North Dakota State",1,"Duke"
"560","NCAA, South - First Round","2019","3","22",70,77,15,"Colgate",2,"Tennessee"
"561","NCAA, Midwest - First Round","2019","3","22",55,84,14,"Georgia State",3,"Houston"
"562","NCAA, West - First Round","2019","3","22",57,72,14,"Northern Kentucky",3,"Texas Tech"
"563","NCAA, South - First Round","2019","3","22",70,64,13,"UCIrvine",4,"Kansas State"
"564","NCAA, East - First Round","2019","3","22",52,66,13,"Saint Louis",4,"Virginia Tech"
"565","NCAA, East - First Round","2019","3","22",80,76,12,"Liberty",5,"Mississippi State"
"566","NCAA, South - First Round","2019","3","22",72,54,12,"Oregon",5,"Wisconsin"
"567","NCAA, West - First Round","2019","3","22",74,91,11,"Arizona State",6,"Buffalo"
"568","NCAA, Midwest - First Round","2019","3","22",62,59,11,"Ohio State",6,"Iowa State"
"569","NCAA, South - First Round","2019","3","22",79,72,10,"Iowa",7,"Cincinnati"
"570","NCAA, East - First Round","2019","3","22",73,58,9,"UCF",8,"VCU"
"571","NCAA, South - First Round","2019","3","22",95,72,9,"Oklahoma",8,"Ole Miss"
"572","NCAA, Midwest - First Round","2019","3","22",78,61,9,"Washington",8,"Utah State"
"573","NCAA, West - Second Round","2019","3","23",71,83,9,"Baylor",1,"Gonzaga"
"574","NCAA, West - Second Round","2019","3","23",49,64,10,"Florida",2,"Michigan"
"575","NCAA, East - Second Round","2019","3","23",50,70,10,"Minnesota",2,"Michigan State"
"576","NCAA, Midwest - Second Round","2019","3","23",56,62,7,"Wofford",2,"Kentucky"
"577","NCAA, East - Second Round","2019","3","23",67,69,6,"Maryland",3,"LSU"
"578","NCAA, South - Second Round","2019","3","23",61,87,6,"Villanova",3,"Purdue"
"579","NCAA, Midwest - Second Round","2019","3","23",89,75,5,"Auburn",4,"Kansas"
"580","NCAA, West - Second Round","2019","3","23",62,90,12,"Murray State",4,"Florida State"
"581","NCAA, East - Second Round","2019","3","24",76,77,9,"UCF",1,"Duke"
"582","NCAA, South - Second Round","2019","3","24",51,63,9,"Oklahoma",1,"Virginia"
"583","NCAA, Midwest - Second Round","2019","3","24",59,81,9,"Washington",1,"UNC"
"584","NCAA, South - Second Round","2019","3","24",77,83,10,"Iowa",2,"Tennessee"
"585","NCAA, West - Second Round","2019","3","24",58,78,6,"Buffalo",3,"Texas Tech"
"586","NCAA, Midwest - Second Round","2019","3","24",59,74,11,"Ohio State",3,"Houston"
"587","NCAA, East - Second Round","2019","3","24",58,67,12,"Liberty",4,"Virginia Tech"
"588","NCAA, South - Second Round","2019","3","24",54,73,13,"UCIrvine",12,"Oregon"
"589","NCAA, West - Regional Semifinal","2019","3","28",58,72,4,"Florida State",1,"Gonzaga"
"590","NCAA, South - Regional Semifinal","2019","3","28",49,53,12,"Oregon",1,"Virginia"
"591","NCAA, South - Regional Semifinal","2019","3","28",99,94,3,"Purdue",2,"Tennessee"
"592","NCAA, West - Regional Semifinal","2019","3","28",63,44,3,"Texas Tech",2,"Michigan"
"593","NCAA, Midwest - Regional Semifinal","2019","3","29",97,80,5,"Auburn",1,"UNC"
"594","NCAA, East - Regional Semifinal","2019","3","29",73,75,4,"Virginia Tech",1,"Duke"
"595","NCAA, Midwest - Regional Semifinal","2019","3","29",58,62,3,"Houston",2,"Kentucky"
"596","NCAA, East - Regional Semifinal","2019","3","29",63,80,3,"LSU",2,"Michigan State"
"597","NCAA, South - Regional Final","2019","3","30",75,80,3,"Purdue",1,"Virginia"
"598","NCAA, West - Regional Final","2019","3","30",75,69,3,"Texas Tech",1,"Gonzaga"
"599","NCAA, East - Regional Final","2019","3","31",68,67,2,"Michigan State",1,"Duke"
"600","NCAA, Midwest - Regional Final","2019","3","31",77,71,5,"Auburn",2,"Kentucky"
"601","NCAA, National - National Semifinal","2019","4","6",62,63,5,"Auburn",1,"Virginia"
"602","NCAA, National - National Semifinal","2019","4","6",61,51,3,"Texas Tech",2,"Michigan State"
"603","NCAA, National - National Final","2019","4","8",77,85,3,"Texas Tech",1,"Virginia"
"604","NCAA, West - First Four","2021","3","18",53,52,11,"Drake",11,"Wichita State"
"605","NCAA, East - First Four","2021","3","18",86,80,11,"UCLA",11,"Michigan State"
"606","NCAA, West - First Four","2021","3","18",53,54,16,"Appalachian State",16,"Norfolk State"
"607","NCAA, East - First Four","2021","3","18",60,52,16,"Texas Southern",16,"Mount St Marys"
"608","NCAA, Midwest - First Round","2021","3","19",49,78,16,"Drexel",1,"Illinois"
"609","NCAA, South - First Round","2021","3","19",55,79,16,"Hartford",1,"Baylor"
"610","NCAA, Midwest - First Round","2021","3","19",56,87,15,"Cleveland State",2,"Houston"
"611","NCAA, South - First Round","2021","3","19",75,72,15,"Oral Roberts",2,"Ohio State"
"612","NCAA, South - First Round","2021","3","19",68,85,14,"Colgate",3,"Arkansas"
"613","NCAA, Midwest - First Round","2021","3","19",67,84,14,"Morehead State",3,"West Virginia"
"614","NCAA, Midwest - First Round","2021","3","19",60,69,13,"Liberty",4,"Oklahoma State"
"615","NCAA, South - First Round","2021","3","19",78,69,13,"North Texas",4,"Purdue"
"616","NCAA, Midwest - First Round","2021","3","19",70,56,12,"Oregon State",5,"Tennessee"
"617","NCAA, South - First Round","2021","3","19",63,73,12,"Winthrop",5,"Villanova"
"618","NCAA, Midwest - First Round","2021","3","19",78,62,11,"Syracuse",6,"San Diego State"
"619","NCAA, South - First Round","2021","3","19",53,65,11,"Utah State",6,"Texas Tech"
"620","NCAA, Midwest - First Round","2021","3","19",60,56,10,"Rutgers",7,"Clemson"
"621","NCAA, South - First Round","2021","3","19",70,75,10,"Virginia Tech",7,"Florida"
"622","NCAA, Midwest - First Round","2021","3","19",60,71,9,"Georgia Tech",8,"Loyola IL"
"623","NCAA, South - First Round","2021","3","19",85,62,9,"Wisconsin",8,"UNC"
"624","NCAA, West - First Round","2021","3","20",55,98,16,"Norfolk State",1,"Gonzaga"
"625","NCAA, East - First Round","2021","3","20",66,82,16,"Texas Southern",1,"Michigan"
"626","NCAA, West - First Round","2021","3","20",74,86,15,"Grand Canyon",2,"Iowa"
"627","NCAA, East - First Round","2021","3","20",55,68,15,"Iona",2,"Alabama"
"628","NCAA, East - First Round","2021","3","20",53,52,14,"Abilene Christian",3,"Texas"
"629","NCAA, West - First Round","2021","3","20",84,93,14,"Eastern Washington",3,"Kansas"
"630","NCAA, East - First Round","2021","3","20",54,64,13,"UNC Greensboro",4,"Florida State"
"631","NCAA, West - First Round","2021","3","20",62,58,13,"Ohio",4,"Virginia"
"632","NCAA, West - First Round","2021","3","20",62,63,12,"UCSB",5,"Creighton"
"633","NCAA, East - First Round","2021","3","20",73,96,12,"Georgetown",5,"Colorado"
"634","NCAA, West - First Round","2021","3","20",56,72,11,"Drake",6,"USC"
"635","NCAA, East - First Round","2021","3","20",73,62,11,"UCLA",6,"BYU"
"636","NCAA, East - First Round","2021","3","20",63,54,10,"Maryland",7,"UConn"
"637","NCAA, West - First Round","2021","3","20",NA,NA,10,"VCU",7,"Oregon"
"638","NCAA, West - First Round","2021","3","20",68,72,9,"Missouri",8,"Oklahoma"
"639","NCAA, East - First Round","2021","3","20",61,76,9,"St Bonaventure",8,"LSU"
"640","NCAA, Midwest - Second Round","2021","3","21",71,58,8,"Loyola IL",1,"Illinois"
"641","NCAA, South - Second Round","2021","3","21",63,76,9,"Wisconsin",1,"Baylor"
"642","NCAA, Midwest - Second Round","2021","3","21",60,63,10,"Rutgers",2,"Houston"
"643","NCAA, Midwest - Second Round","2021","3","21",75,72,11,"Syracuse",3,"West Virginia"
"644","NCAA, South - Second Round","2021","3","21",66,68,6,"Texas Tech",3,"Arkansas"
"645","NCAA, Midwest - Second Round","2021","3","21",80,70,12,"Oregon State",4,"Oklahoma State"
"646","NCAA, South - Second Round","2021","3","21",61,84,13,"North Texas",5,"Villanova"
"647","NCAA, South - Second Round","2021","3","21",81,78,15,"Oral Roberts",7,"Florida"
"648","NCAA, East - Second Round","2021","3","22",78,86,8,"LSU",1,"Michigan"
"649","NCAA, West - Second Round","2021","3","22",71,87,8,"Oklahoma",1,"Gonzaga"
"650","NCAA, East - Second Round","2021","3","22",77,96,10,"Maryland",2,"Alabama"
"651","NCAA, West - Second Round","2021","3","22",95,80,7,"Oregon",2,"Iowa"
"652","NCAA, West - Second Round","2021","3","22",85,51,6,"USC",3,"Kansas"
"653","NCAA, East - Second Round","2021","3","22",53,71,5,"Colorado",4,"Florida State"
"654","NCAA, West - Second Round","2021","3","22",58,72,13,"Ohio",5,"Creighton"
"655","NCAA, East - Second Round","2021","3","22",47,67,14,"Abilene Christian",11,"UCLA"
"656","NCAA, South - Regional Semifinal","2021","3","27",51,62,5,"Villanova",1,"Baylor"
"657","NCAA, Midwest - Regional Semifinal","2021","3","27",46,62,11,"Syracuse",2,"Houston"
"658","NCAA, South - Regional Semifinal","2021","3","27",70,72,15,"Oral Roberts",3,"Arkansas"
"659","NCAA, Midwest - Regional Semifinal","2021","3","27",65,58,12,"Oregon State",8,"Loyola IL"
"660","NCAA, West - Regional Semifinal","2021","3","28",65,83,5,"Creighton",1,"Gonzaga"
"661","NCAA, East - Regional Semifinal","2021","3","28",58,76,4,"Florida State",1,"Michigan"
"662","NCAA, East - Regional Semifinal","2021","3","28",88,78,11,"UCLA",2,"Alabama"
"663","NCAA, West - Regional Semifinal","2021","3","28",68,82,7,"Oregon",6,"USC"
"664","NCAA, South - Regional Final","2021","3","29",72,81,3,"Arkansas",1,"Baylor"
"665","NCAA, Midwest - Regional Final","2021","3","29",61,67,12,"Oregon State",2,"Houston"
"666","NCAA, West - Regional Final","2021","3","30",66,85,6,"USC",1,"Gonzaga"
"667","NCAA, East - Regional Final","2021","3","30",51,49,11,"UCLA",1,"Michigan"
"668","NCAA, National - National Semifinal","2021","4","3",59,78,2,"Houston",1,"Baylor"
"669","NCAA, National - National Semifinal","2021","4","3",90,93,11,"UCLA",1,"Gonzaga"
"670","NCAA, National - National Final","2021","4","5",86,70,1,"Baylor",1,"Gonzaga"
